open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-01-01 00:00:00+00:00,7195.24,7196.25,7175.46,7177.02,511.814901,2020-01-01 00:59:59.999000+00:00,3675856.57948543,7640,226.153126,1624289.18965037,0
2020-01-01 01:00:00+00:00,7176.47,7230.0,7175.71,7216.27,883.052603,2020-01-01 01:59:59.999000+00:00,6365952.54111276,9033,570.721419,4114804.04969093,0
2020-01-01 02:00:00+00:00,7215.52,7244.87,7211.41,7242.85,655.156809,2020-01-01 02:59:59.999000+00:00,4736719.38819138,7466,357.180263,2582513.82508776,0
2020-01-01 03:00:00+00:00,7242.66,7245.0,7220.0,7225.01,783.724867,2020-01-01 03:59:59.999000+00:00,5667367.29300603,8337,394.810811,2854987.35529137,0
2020-01-01 04:00:00+00:00,7225.0,7230.0,7215.03,7217.27,467.812578,2020-01-01 04:59:59.999000+00:00,3379093.84979077,5896,243.514706,1759053.44836794,0
2020-01-01 05:00:00+00:00,7217.26,7229.76,7216.65,7224.21,344.670596,2020-01-01 05:59:59.999000+00:00,2489507.24663728,6529,194.898525,1407859.39772595,0
2020-01-01 06:00:00+00:00,7224.24,7236.27,7221.51,7225.62,621.467023,2020-01-01 06:59:59.999000+00:00,4493048.24570801,9718,288.40033,2085093.09034902,0
2020-01-01 07:00:00+00:00,7225.88,7232.94,7199.11,7209.83,627.344854,2020-01-01 07:59:59.999000+00:00,4528532.93295699,7848,322.897675,2330844.43949271,0
2020-01-01 08:00:00+00:00,7209.83,7210.0,7180.0,7200.64,915.545974,2020-01-01 08:59:59.999000+00:00,6584766.36902302,8847,440.887464,3171436.98880032,0
2020-01-01 09:00:00+00:00,7200.29,7210.51,7188.0,7188.77,636.386102,2020-01-01 09:59:59.999000+00:00,4580279.61372286,7177,287.518333,2069473.90367405,0
2020-01-01 10:00:00+00:00,7189.07,7210.0,7185.2,7202.0,537.762804,2020-01-01 10:59:59.999000+00:00,3872434.23941144,6417,288.278481,2075906.2694043,0
2020-01-01 11:00:00+00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,2020-01-01 11:59:59.999000+00:00,7769838.36840155,11066,545.660036,3936878.73439429,0
2020-01-01 12:00:00+00:00,7197.2,7233.33,7196.15,7225.59,868.75358,2020-01-01 12:59:59.999000+00:00,6269445.53871061,9402,504.454945,3640707.64255483,0
2020-01-01 13:00:00+00:00,7225.84,7231.89,7212.88,7221.2,612.180902,2020-01-01 13:59:59.999000+00:00,4421321.60662347,7240,323.270645,2334754.37112301,0
2020-01-01 14:00:00+00:00,7221.17,7234.97,7208.17,7221.43,617.714185,2020-01-01 14:59:59.999000+00:00,4461596.1374092,8130,317.526088,2293469.15010773,0
2020-01-01 15:00:00+00:00,7221.6,7255.0,7218.29,7234.19,1393.888792,2020-01-01 15:59:59.999000+00:00,10083196.37797081,11777,941.027441,6807778.16446788,0
2020-01-01 16:00:00+00:00,7234.2,7246.42,7214.0,7245.37,881.93278,2020-01-01 16:59:59.999000+00:00,6373549.30719837,9499,454.718045,3286159.42922481,0
2020-01-01 17:00:00+00:00,7244.34,7249.99,7224.92,7236.83,1069.210567,2020-01-01 17:59:59.999000+00:00,7740371.19418923,9809,688.263371,4982656.31043735,0
2020-01-01 18:00:00+00:00,7237.02,7246.72,7225.17,7240.67,611.693307,2020-01-01 18:59:59.999000+00:00,4426678.3931608,7712,322.847276,2336417.57816526,0
2020-01-01 19:00:00+00:00,7240.8,7241.0,7225.49,7229.48,417.746637,2020-01-01 19:59:59.999000+00:00,3021175.27526242,5857,207.231902,1498924.74940944,0
2020-01-01 20:00:00+00:00,7229.48,7242.98,7224.68,7236.73,391.834174,2020-01-01 20:59:59.999000+00:00,2834515.14512445,5465,198.754804,1437840.00843916,0
2020-01-01 21:00:00+00:00,7237.26,7242.75,7227.0,7233.17,285.454078,2020-01-01 21:59:59.999000+00:00,2064937.49397016,5114,142.477244,1030734.20312295,0
2020-01-01 22:00:00+00:00,7233.32,7234.49,7186.0,7197.99,769.030411,2020-01-01 22:59:59.999000+00:00,5542964.53489558,10399,356.771351,2571743.12046796,0
2020-01-01 23:00:00+00:00,7197.62,7204.17,7175.15,7200.85,811.25016,2020-01-01 23:59:59.999000+00:00,5831304.44409966,7632,328.691254,2363459.79288495,0
2020-01-02 00:00:00+00:00,7200.77,7212.5,7185.46,7211.02,391.352377,2020-01-02 00:59:59.999000+00:00,2817911.98887722,5470,219.086231,1577568.03905161,0
2020-01-02 01:00:00+00:00,7211.04,7211.16,7185.11,7190.99,402.660139,2020-01-02 01:59:59.999000+00:00,2897039.58051895,5929,200.653186,1443624.51097343,0
2020-01-02 02:00:00+00:00,7190.99,7191.0,7155.35,7169.02,1387.377886,2020-01-02 02:59:59.999000+00:00,9943525.16584881,14716,616.319998,4417102.36345964,0
2020-01-02 03:00:00+00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,2020-01-02 03:59:59.999000+00:00,11131079.15308483,15206,703.175028,5024808.11047959,0
2020-01-02 04:00:00+00:00,7129.25,7161.0,7116.7,7142.21,1252.447877,2020-01-02 04:59:59.999000+00:00,8947150.49263407,12565,585.156163,4180224.69166626,0
2020-01-02 05:00:00+00:00,7142.61,7152.05,7126.93,7138.93,569.50899,2020-01-02 05:59:59.999000+00:00,4066462.76858519,6580,255.598664,1825253.73063505,0
2020-01-02 06:00:00+00:00,7138.93,7149.02,7121.43,7135.97,687.600665,2020-01-02 06:59:59.999000+00:00,4908674.72695562,7669,326.44149,2330464.34617112,0
2020-01-02 07:00:00+00:00,7136.04,7140.63,7105.0,7110.57,1548.403823,2020-01-02 07:59:59.999000+00:00,11023285.84536549,13939,647.345403,4608644.13367406,0
2020-01-02 08:00:00+00:00,7110.98,7157.48,7109.11,7154.36,1114.825128,2020-01-02 08:59:59.999000+00:00,7958329.31048351,11622,525.101341,3748242.38788132,0
2020-01-02 09:00:00+00:00,7153.57,7165.0,7135.36,7162.01,840.001328,2020-01-02 09:59:59.999000+00:00,6004950.12191941,8198,503.957776,3602819.28248269,0
