symbol,sample,strategy,cost_bps,total_return,cagr,sharpe,max_drawdown,calmar,trade_win_rate,trade_profit_factor,payoff_ratio,trades,turnover,avg_hold_h
BTCUSDT,IN_SAMPLE (2020-2023),Buy & Hold,0.0,4.891523222730407,0.5585932450697402,0.9905329143774054,-0.7719848663243931,0.7235805641234107,0.5084779630052524,1.0363896273274318,,1,1.0,35032.0
BTCUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,0.0,1.178909178088738,0.21516995543550266,0.9204895073906965,-0.2473506486652175,0.8698984886299185,0.49693251533742333,1.5736260361708616,1.593053518098897,163,326.0,24.957055214723926
BTCUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,2.5,1.0082823932313048,0.19062596420907307,0.8367354521307108,-0.2585652342907536,0.7372451471751859,0.49693251533742333,1.5397430507190832,1.558752224184751,163,326.0,24.957055214723926
BTCUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,5.0,0.8509793435092898,0.16657175626676435,0.7529470153000087,-0.2696154651871015,0.6178123207849769,0.4785276073619632,1.5066174056762056,1.6418266600317626,163,326.0,24.957055214723926
BTCUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,10.0,0.5722751617279043,0.11989425872805537,0.5853525355524889,-0.32074231311599305,0.37380243836022,0.4723926380368098,1.4426124647206686,1.6112295060516557,163,326.0,24.957055214723926
BTCUSDT,OUT_OF_SAMPLE (2024-2026),Buy & Hold,0.0,0.7824767912272659,0.23785878749478906,0.6870364623641887,-0.5374206479139328,0.44259331757733616,0.5047799536744578,1.022872050408421,,1,1.0,23745.0
BTCUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,0.0,0.7129478138145695,0.21980917493823604,1.3296619902119966,-0.08448811635990665,2.601657894725479,0.625,1.819953519063215,1.091972111437929,112,224.0,24.071428571428573
BTCUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,2.5,0.6197104896579357,0.1948641133894069,1.2001331346961426,-0.08540336222508331,2.281691356317287,0.6160714285714286,1.768115976954552,1.101869376942692,112,224.0,24.071428571428573
BTCUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,5.0,0.5315267355909545,0.1704231335411941,1.0702662243049772,-0.08657169086463286,1.9685780864286788,0.6071428571428571,1.717610188016289,1.111394827539952,112,224.0,24.071428571428573
BTCUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,10.0,0.36924360521782074,0.12301336094977144,0.8098334163921747,-0.09317785158375609,1.3201995845460837,0.5714285714285714,1.6201208255300599,1.2150906191475448,112,224.0,24.071428571428573
